reviews,reviews_tokens,reviews_tokens_without_stopwords,reviews_stemmed,reviews_lemmatized,sentiment_polarity,sentiment
the plane was extremely dirty with chocolate smudged all over mine and my childrens seats i had to wipe down all the seats after we landed i immediately realized i left my camera with its bag in the airplane overhead cabin they would not let me back on the plane for security reasons so i went to the british airways team on ground they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked now its been over 3 weeks with no sign of my camera so it is assumed stolen i have complained to british airways and all i get is an response to keep checking with lost property zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning very disappointed,"['the', 'plane', 'was', 'extremely', 'dirty', 'with', 'chocolate', 'smudged', 'all', 'over', 'mine', 'and', 'my', 'childrens', 'seats', 'i', 'had', 'to', 'wipe', 'down', 'all', 'the', 'seats', 'after', 'we', 'landed', 'i', 'immediately', 'realized', 'i', 'left', 'my', 'camera', 'with', 'its', 'bag', 'in', 'the', 'airplane', 'overhead', 'cabin', 'they', 'would', 'not', 'let', 'me', 'back', 'on', 'the', 'plane', 'for', 'security', 'reasons', 'so', 'i', 'went', 'to', 'the', 'british', 'airways', 'team', 'on', 'ground', 'they', 'refused', 'to', 'contact', 'cabin', 'crew', 'only', 'until', 'we', 'threw', 'up', 'a', 'massive', 'fuss', 'then', 'the', 'manager', 'reluctantly', 'agreed', 'which', 'by', 'that', 'point', 'cabin', 'crew', 'had', 'disembarked', 'now', 'its', 'been', 'over', '3', 'weeks', 'with', 'no', 'sign', 'of', 'my', 'camera', 'so', 'it', 'is', 'assumed', 'stolen', 'i', 'have', 'complained', 'to', 'british', 'airways', 'and', 'all', 'i', 'get', 'is', 'an', 'response', 'to', 'keep', 'checking', 'with', 'lost', 'property', 'zero', 'customer', 'service', 'for', 'their', 'regular', 'customers', 'and', 'this', 'all', 'could', 'have', 'been', 'mitigated', 'if', 'they', 'had', 'been', 'willing', 'to', 'help', 'at', 'the', 'very', 'beginning', 'very', 'disappointed']","['plane', 'extremely', 'dirty', 'chocolate', 'smudged', 'mine', 'childrens', 'seats', 'wipe', 'seats', 'landed', 'immediately', 'realized', 'left', 'camera', 'bag', 'airplane', 'overhead', 'cabin', 'would', 'not', 'let', 'back', 'plane', 'security', 'reasons', 'went', 'british', 'airways', 'team', 'ground', 'refused', 'contact', 'cabin', 'crew', 'threw', 'massive', 'fuss', 'manager', 'reluctantly', 'agreed', 'point', 'cabin', 'crew', 'disembarked', '3', 'weeks', 'sign', 'camera', 'assumed', 'stolen', 'complained', 'british', 'airways', 'get', 'response', 'keep', 'checking', 'lost', 'property', 'zero', 'customer', 'service', 'regular', 'customers', 'could', 'mitigated', 'willing', 'help', 'beginning', 'disappointed']","['plane', 'extrem', 'dirti', 'chocol', 'smudg', 'mine', 'children', 'seat', 'wipe', 'seat', 'land', 'immedi', 'realiz', 'left', 'camera', 'bag', 'airplan', 'overhead', 'cabin', 'would', 'not', 'let', 'back', 'plane', 'secur', 'reason', 'went', 'british', 'airway', 'team', 'ground', 'refus', 'contact', 'cabin', 'crew', 'threw', 'massiv', 'fuss', 'manag', 'reluctantli', 'agre', 'point', 'cabin', 'crew', 'disembark', '3', 'week', 'sign', 'camera', 'assum', 'stolen', 'complain', 'british', 'airway', 'get', 'respons', 'keep', 'check', 'lost', 'properti', 'zero', 'custom', 'servic', 'regular', 'custom', 'could', 'mitig', 'will', 'help', 'begin', 'disappoint']","['plane', 'extrem', 'dirti', 'chocol', 'smudg', 'mine', 'child', 'seat', 'wipe', 'seat', 'land', 'immedi', 'realiz', 'left', 'camera', 'bag', 'airplan', 'overhead', 'cabin', 'would', 'not', 'let', 'back', 'plane', 'secur', 'reason', 'went', 'british', 'airway', 'team', 'ground', 'refus', 'contact', 'cabin', 'crew', 'threw', 'massiv', 'fuss', 'manag', 'reluctantli', 'agre', 'point', 'cabin', 'crew', 'disembark', '3', 'week', 'sign', 'camera', 'assum', 'stolen', 'complain', 'british', 'airway', 'get', 'respons', 'keep', 'check', 'lost', 'properti', 'zero', 'custom', 'servic', 'regular', 'custom', 'could', 'mitig', 'will', 'help', 'begin', 'disappoint']",0.0,Neutral
i had a flight from miami florida to dublin ireland via london heathrow airport the outbound flight from miami was delayed and we were further delayed when our gate was occupied when we arrived in heathrow the total delay was roughly an hour but it was enough to make our connection a challenge where we had 73 minutes between original arrival time until the departure time to dublin when we headed to our connection flight we were stopped by security personnel at a checkpoint and told us that the gate to our connection flight had already closed this was twenty minutes prior to departure time they ushered us to customer service to be rebooted given the busy weekend of travel we were rebooted on a flight at a different airport and were told that our cost to get there would be reimbursed we then waited 3 hours for our luggage and then took a cab to london city airport the cab fare was roughly 500 when i filed a claim with british airways they refused the claim and told me that we had plenty of time to make our connecting flight and therefore they denied my claim to be reimbursed for the cab fare this is after i explained that it was british airways employees who ushered us to rebook the flight despite the 20 minute timeframe to make the connecting flight the person who rebooted us told us it was policy that they close the gate 20 minutes prior to departure i will never fly this awful airline again given the other feedback on this site it appears that that is the overwhelming sentiment,"['i', 'had', 'a', 'flight', 'from', 'miami', 'florida', 'to', 'dublin', 'ireland', 'via', 'london', 'heathrow', 'airport', 'the', 'outbound', 'flight', 'from', 'miami', 'was', 'delayed', 'and', 'we', 'were', 'further', 'delayed', 'when', 'our', 'gate', 'was', 'occupied', 'when', 'we', 'arrived', 'in', 'heathrow', 'the', 'total', 'delay', 'was', 'roughly', 'an', 'hour', 'but', 'it', 'was', 'enough', 'to', 'make', 'our', 'connection', 'a', 'challenge', 'where', 'we', 'had', '73', 'minutes', 'between', 'original', 'arrival', 'time', 'until', 'the', 'departure', 'time', 'to', 'dublin', 'when', 'we', 'headed', 'to', 'our', 'connection', 'flight', 'we', 'were', 'stopped', 'by', 'security', 'personnel', 'at', 'a', 'checkpoint', 'and', 'told', 'us', 'that', 'the', 'gate', 'to', 'our', 'connection', 'flight', 'had', 'already', 'closed', 'this', 'was', 'twenty', 'minutes', 'prior', 'to', 'departure', 'time', 'they', 'ushered', 'us', 'to', 'customer', 'service', 'to', 'be', 'rebooted', 'given', 'the', 'busy', 'weekend', 'of', 'travel', 'we', 'were', 'rebooted', 'on', 'a', 'flight', 'at', 'a', 'different', 'airport', 'and', 'were', 'told', 'that', 'our', 'cost', 'to', 'get', 'there', 'would', 'be', 'reimbursed', 'we', 'then', 'waited', '3', 'hours', 'for', 'our', 'luggage', 'and', 'then', 'took', 'a', 'cab', 'to', 'london', 'city', 'airport', 'the', 'cab', 'fare', 'was', 'roughly', '500', 'when', 'i', 'filed', 'a', 'claim', 'with', 'british', 'airways', 'they', 'refused', 'the', 'claim', 'and', 'told', 'me', 'that', 'we', 'had', 'plenty', 'of', 'time', 'to', 'make', 'our', 'connecting', 'flight', 'and', 'therefore', 'they', 'denied', 'my', 'claim', 'to', 'be', 'reimbursed', 'for', 'the', 'cab', 'fare', 'this', 'is', 'after', 'i', 'explained', 'that', 'it', 'was', 'british', 'airways', 'employees', 'who', 'ushered', 'us', 'to', 'rebook', 'the', 'flight', 'despite', 'the', '20', 'minute', 'timeframe', 'to', 'make', 'the', 'connecting', 'flight', 'the', 'person', 'who', 'rebooted', 'us', 'told', 'us', 'it', 'was', 'policy', 'that', 'they', 'close', 'the', 'gate', '20', 'minutes', 'prior', 'to', 'departure', 'i', 'will', 'never', 'fly', 'this', 'awful', 'airline', 'again', 'given', 'the', 'other', 'feedback', 'on', 'this', 'site', 'it', 'appears', 'that', 'that', 'is', 'the', 'overwhelming', 'sentiment']","['flight', 'miami', 'florida', 'dublin', 'ireland', 'via', 'london', 'heathrow', 'airport', 'outbound', 'flight', 'miami', 'delayed', 'delayed', 'gate', 'occupied', 'arrived', 'heathrow', 'total', 'delay', 'roughly', 'hour', 'enough', 'make', 'connection', 'challenge', '73', 'minutes', 'original', 'arrival', 'time', 'departure', 'time', 'dublin', 'headed', 'connection', 'flight', 'stopped', 'security', 'personnel', 'checkpoint', 'told', 'us', 'gate', 'connection', 'flight', 'already', 'closed', 'twenty', 'minutes', 'prior', 'departure', 'time', 'ushered', 'us', 'customer', 'service', 'rebooted', 'given', 'busy', 'weekend', 'travel', 'rebooted', 'flight', 'different', 'airport', 'told', 'cost', 'get', 'would', 'reimbursed', 'waited', '3', 'hours', 'luggage', 'took', 'cab', 'london', 'city', 'airport', 'cab', 'fare', 'roughly', '500', 'filed', 'claim', 'british', 'airways', 'refused', 'claim', 'told', 'plenty', 'time', 'make', 'connecting', 'flight', 'therefore', 'denied', 'claim', 'reimbursed', 'cab', 'fare', 'explained', 'british', 'airways', 'employees', 'ushered', 'us', 'rebook', 'flight', 'despite', '20', 'minute', 'timeframe', 'make', 'connecting', 'flight', 'person', 'rebooted', 'us', 'told', 'us', 'policy', 'close', 'gate', '20', 'minutes', 'prior', 'departure', 'never', 'fly', 'awful', 'airline', 'given', 'feedback', 'site', 'appears', 'overwhelming', 'sentiment']","['flight', 'miami', 'florida', 'dublin', 'ireland', 'via', 'london', 'heathrow', 'airport', 'outbound', 'flight', 'miami', 'delay', 'delay', 'gate', 'occupi', 'arriv', 'heathrow', 'total', 'delay', 'roughli', 'hour', 'enough', 'make', 'connect', 'challeng', '73', 'minut', 'origin', 'arriv', 'time', 'departur', 'time', 'dublin', 'head', 'connect', 'flight', 'stop', 'secur', 'personnel', 'checkpoint', 'told', 'us', 'gate', 'connect', 'flight', 'alreadi', 'close', 'twenti', 'minut', 'prior', 'departur', 'time', 'usher', 'us', 'custom', 'servic', 'reboot', 'given', 'busi', 'weekend', 'travel', 'reboot', 'flight', 'differ', 'airport', 'told', 'cost', 'get', 'would', 'reimburs', 'wait', '3', 'hour', 'luggag', 'took', 'cab', 'london', 'citi', 'airport', 'cab', 'fare', 'roughli', '500', 'file', 'claim', 'british', 'airway', 'refus', 'claim', 'told', 'plenti', 'time', 'make', 'connect', 'flight', 'therefor', 'deni', 'claim', 'reimburs', 'cab', 'fare', 'explain', 'british', 'airway', 'employe', 'usher', 'us', 'rebook', 'flight', 'despit', '20', 'minut', 'timefram', 'make', 'connect', 'flight', 'person', 'reboot', 'us', 'told', 'us', 'polici', 'close', 'gate', '20', 'minut', 'prior', 'departur', 'never', 'fli', 'aw', 'airlin', 'given', 'feedback', 'site', 'appear', 'overwhelm', 'sentiment']","['flight', 'miami', 'florida', 'dublin', 'ireland', 'via', 'london', 'heathrow', 'airport', 'outbound', 'flight', 'miami', 'delay', 'delay', 'gate', 'occupi', 'arriv', 'heathrow', 'total', 'delay', 'roughli', 'hour', 'enough', 'make', 'connect', 'challeng', '73', 'minut', 'origin', 'arriv', 'time', 'departur', 'time', 'dublin', 'head', 'connect', 'flight', 'stop', 'secur', 'personnel', 'checkpoint', 'told', 'u', 'gate', 'connect', 'flight', 'alreadi', 'close', 'twenti', 'minut', 'prior', 'departur', 'time', 'usher', 'u', 'custom', 'servic', 'reboot', 'given', 'busi', 'weekend', 'travel', 'reboot', 'flight', 'differ', 'airport', 'told', 'cost', 'get', 'would', 'reimburs', 'wait', '3', 'hour', 'luggag', 'took', 'cab', 'london', 'citi', 'airport', 'cab', 'fare', 'roughli', '500', 'file', 'claim', 'british', 'airway', 'refus', 'claim', 'told', 'plenti', 'time', 'make', 'connect', 'flight', 'therefor', 'deni', 'claim', 'reimburs', 'cab', 'fare', 'explain', 'british', 'airway', 'employe', 'usher', 'u', 'rebook', 'flight', 'despit', '20', 'minut', 'timefram', 'make', 'connect', 'flight', 'person', 'reboot', 'u', 'told', 'u', 'polici', 'close', 'gate', '20', 'minut', 'prior', 'departur', 'never', 'fli', 'aw', 'airlin', 'given', 'feedback', 'site', 'appear', 'overwhelm', 'sentiment']",0.0,Neutral
44 flights we booked this holiday were delayed about 12 hours no wifi available on 2 of 4 flights food and drinks very basic and expensive cannot recommend,"['44', 'flights', 'we', 'booked', 'this', 'holiday', 'were', 'delayed', 'about', '12', 'hours', 'no', 'wifi', 'available', 'on', '2', 'of', '4', 'flights', 'food', 'and', 'drinks', 'very', 'basic', 'and', 'expensive', 'can', 'not', 'recommend']","['44', 'flights', 'booked', 'holiday', 'delayed', '12', 'hours', 'wifi', 'available', '2', '4', 'flights', 'food', 'drinks', 'basic', 'expensive', 'not', 'recommend']","['44', 'flight', 'book', 'holiday', 'delay', '12', 'hour', 'wifi', 'avail', '2', '4', 'flight', 'food', 'drink', 'basic', 'expens', 'not', 'recommend']","['44', 'flight', 'book', 'holiday', 'delay', '12', 'hour', 'wifi', 'avail', '2', '4', 'flight', 'food', 'drink', 'basic', 'expens', 'not', 'recommend']",0.0,Neutral
8 months have passed and still wasting my time with the ba team sharing the same documents again and again our flight from delhi to london got delayed in december 2022 so we missed the connecting flight from london heathrow to vancouver ba put us on a flight after 24 hours on reaching vancouver we were told our baggage was lost such a horrible experience and their customer relations person did not even look into the details already shared in december january april and july,"['8', 'months', 'have', 'passed', 'and', 'still', 'wasting', 'my', 'time', 'with', 'the', 'ba', 'team', 'sharing', 'the', 'same', 'documents', 'again', 'and', 'again', 'our', 'flight', 'from', 'delhi', 'to', 'london', 'got', 'delayed', 'in', 'december', '2022', 'so', 'we', 'missed', 'the', 'connecting', 'flight', 'from', 'london', 'heathrow', 'to', 'vancouver', 'ba', 'put', 'us', 'on', 'a', 'flight', 'after', '24', 'hours', 'on', 'reaching', 'vancouver', 'we', 'were', 'told', 'our', 'baggage', 'was', 'lost', 'such', 'a', 'horrible', 'experience', 'and', 'their', 'customer', 'relations', 'person', 'did', 'not', 'even', 'look', 'into', 'the', 'details', 'already', 'shared', 'in', 'december', 'january', 'april', 'and', 'july']","['8', 'months', 'passed', 'still', 'wasting', 'time', 'ba', 'team', 'sharing', 'documents', 'flight', 'delhi', 'london', 'got', 'delayed', 'december', '2022', 'missed', 'connecting', 'flight', 'london', 'heathrow', 'vancouver', 'ba', 'put', 'us', 'flight', '24', 'hours', 'reaching', 'vancouver', 'told', 'baggage', 'lost', 'horrible', 'experience', 'customer', 'relations', 'person', 'not', 'even', 'look', 'details', 'already', 'shared', 'december', 'january', 'april', 'july']","['8', 'month', 'pass', 'still', 'wast', 'time', 'ba', 'team', 'share', 'document', 'flight', 'delhi', 'london', 'got', 'delay', 'decemb', '2022', 'miss', 'connect', 'flight', 'london', 'heathrow', 'vancouv', 'ba', 'put', 'us', 'flight', '24', 'hour', 'reach', 'vancouv', 'told', 'baggag', 'lost', 'horribl', 'experi', 'custom', 'relat', 'person', 'not', 'even', 'look', 'detail', 'alreadi', 'share', 'decemb', 'januari', 'april', 'juli']","['8', 'month', 'pas', 'still', 'wast', 'time', 'ba', 'team', 'share', 'document', 'flight', 'delhi', 'london', 'got', 'delay', 'decemb', '2022', 'miss', 'connect', 'flight', 'london', 'heathrow', 'vancouv', 'ba', 'put', 'u', 'flight', '24', 'hour', 'reach', 'vancouv', 'told', 'baggag', 'lost', 'horribl', 'experi', 'custom', 'relat', 'person', 'not', 'even', 'look', 'detail', 'alreadi', 'share', 'decemb', 'januari', 'april', 'juli']",0.0,Neutral
in june my flight was cancelled within three hours of departure was given a rebooting the next day and they lost my suitcase it arrived three days later today 25th august 2023 it happened again offer of rebooting in two days when trying to post a claim the website doesn't work never again ba,"['in', 'june', 'my', 'flight', 'was', 'cancelled', 'within', 'three', 'hours', 'of', 'departure', 'was', 'given', 'a', 'rebooting', 'the', 'next', 'day', 'and', 'they', 'lost', 'my', 'suitcase', 'it', 'arrived', 'three', 'days', 'later', 'today', '25th', 'august', '2023', 'it', 'happened', 'again', 'offer', 'of', 'rebooting', 'in', 'two', 'days', 'when', 'trying', 'to', 'post', 'a', 'claim', 'the', 'website', 'does', ""n't"", 'work', 'never', 'again', 'ba']","['june', 'flight', 'cancelled', 'within', 'three', 'hours', 'departure', 'given', 'rebooting', 'next', 'day', 'lost', 'suitcase', 'arrived', 'three', 'days', 'later', 'today', '25th', 'august', '2023', 'happened', 'offer', 'rebooting', 'two', 'days', 'trying', 'post', 'claim', 'website', ""n't"", 'work', 'never', 'ba']","['june', 'flight', 'cancel', 'within', 'three', 'hour', 'departur', 'given', 'reboot', 'next', 'day', 'lost', 'suitcas', 'arriv', 'three', 'day', 'later', 'today', '25th', 'august', '2023', 'happen', 'offer', 'reboot', 'two', 'day', 'tri', 'post', 'claim', 'websit', ""n't"", 'work', 'never', 'ba']","['june', 'flight', 'cancel', 'within', 'three', 'hour', 'departur', 'given', 'reboot', 'next', 'day', 'lost', 'suitcas', 'arriv', 'three', 'day', 'later', 'today', '25th', 'august', '2023', 'happen', 'offer', 'reboot', 'two', 'day', 'tri', 'post', 'claim', 'websit', ""n't"", 'work', 'never', 'ba']",0.0,Neutral
we arrived at heathrow at 0600 to find our flight to ibiza was cancelled by ba with no explanation as if that wasn’t galling enough the customer service from ba at the airport was nonexistent there was no explanation no apology and no assistance in finding an alternative flight we’ve managed to find another flight from started but that isn’t until much later today thus wasting a chunk of our short trip i simply don’t understand why ba don’t proactive contact their customers to notify them of a cancellation and work with them to resolve the problem shocking customer service,"['we', 'arrived', 'at', 'heathrow', 'at', '0600', 'to', 'find', 'our', 'flight', 'to', 'ibiza', 'was', 'cancelled', 'by', 'ba', 'with', 'no', 'explanation', 'as', 'if', 'that', 'wasn', '’', 't', 'galling', 'enough', 'the', 'customer', 'service', 'from', 'ba', 'at', 'the', 'airport', 'was', 'nonexistent', 'there', 'was', 'no', 'explanation', 'no', 'apology', 'and', 'no', 'assistance', 'in', 'finding', 'an', 'alternative', 'flight', 'we', '’', 've', 'managed', 'to', 'find', 'another', 'flight', 'from', 'started', 'but', 'that', 'isn', '’', 't', 'until', 'much', 'later', 'today', 'thus', 'wasting', 'a', 'chunk', 'of', 'our', 'short', 'trip', 'i', 'simply', 'don', '’', 't', 'understand', 'why', 'ba', 'don', '’', 't', 'proactive', 'contact', 'their', 'customers', 'to', 'notify', 'them', 'of', 'a', 'cancellation', 'and', 'work', 'with', 'them', 'to', 'resolve', 'the', 'problem', 'shocking', 'customer', 'service']","['arrived', 'heathrow', '0600', 'find', 'flight', 'ibiza', 'cancelled', 'ba', 'explanation', '’', 'galling', 'enough', 'customer', 'service', 'ba', 'airport', 'nonexistent', 'explanation', 'apology', 'assistance', 'finding', 'alternative', 'flight', '’', 'managed', 'find', 'another', 'flight', 'started', '’', 'much', 'later', 'today', 'thus', 'wasting', 'chunk', 'short', 'trip', 'simply', '’', 'understand', 'ba', '’', 'proactive', 'contact', 'customers', 'notify', 'cancellation', 'work', 'resolve', 'problem', 'shocking', 'customer', 'service']","['arriv', 'heathrow', '0600', 'find', 'flight', 'ibiza', 'cancel', 'ba', 'explan', '’', 'gall', 'enough', 'custom', 'servic', 'ba', 'airport', 'nonexist', 'explan', 'apolog', 'assist', 'find', 'altern', 'flight', '’', 'manag', 'find', 'anoth', 'flight', 'start', '’', 'much', 'later', 'today', 'thu', 'wast', 'chunk', 'short', 'trip', 'simpli', '’', 'understand', 'ba', '’', 'proactiv', 'contact', 'custom', 'notifi', 'cancel', 'work', 'resolv', 'problem', 'shock', 'custom', 'servic']","['arriv', 'heathrow', '0600', 'find', 'flight', 'ibiza', 'cancel', 'ba', 'explan', '’', 'gall', 'enough', 'custom', 'servic', 'ba', 'airport', 'nonexist', 'explan', 'apolog', 'assist', 'find', 'altern', 'flight', '’', 'manag', 'find', 'anoth', 'flight', 'start', '’', 'much', 'later', 'today', 'thu', 'wast', 'chunk', 'short', 'trip', 'simpli', '’', 'understand', 'ba', '’', 'proactiv', 'contact', 'custom', 'notifi', 'cancel', 'work', 'resolv', 'problem', 'shock', 'custom', 'servic']",0.0,Neutral
came from glasgow to london and took connecting flight american airlines from london to north carolina its my third day here in north carolina and still waiting for my luggage they didn't even bother to transfer the luggage to connecting flight luggage are still in glasgow,"['came', 'from', 'glasgow', 'to', 'london', 'and', 'took', 'connecting', 'flight', 'american', 'airlines', 'from', 'london', 'to', 'north', 'carolina', 'its', 'my', 'third', 'day', 'here', 'in', 'north', 'carolina', 'and', 'still', 'waiting', 'for', 'my', 'luggage', 'they', 'did', ""n't"", 'even', 'bother', 'to', 'transfer', 'the', 'luggage', 'to', 'connecting', 'flight', 'luggage', 'are', 'still', 'in', 'glasgow']","['came', 'glasgow', 'london', 'took', 'connecting', 'flight', 'american', 'airlines', 'london', 'north', 'carolina', 'third', 'day', 'north', 'carolina', 'still', 'waiting', 'luggage', ""n't"", 'even', 'bother', 'transfer', 'luggage', 'connecting', 'flight', 'luggage', 'still', 'glasgow']","['came', 'glasgow', 'london', 'took', 'connect', 'flight', 'american', 'airlin', 'london', 'north', 'carolina', 'third', 'day', 'north', 'carolina', 'still', 'wait', 'luggag', ""n't"", 'even', 'bother', 'transfer', 'luggag', 'connect', 'flight', 'luggag', 'still', 'glasgow']","['came', 'glasgow', 'london', 'took', 'connect', 'flight', 'american', 'airlin', 'london', 'north', 'carolina', 'third', 'day', 'north', 'carolina', 'still', 'wait', 'luggag', ""n't"", 'even', 'bother', 'transfer', 'luggag', 'connect', 'flight', 'luggag', 'still', 'glasgow']",0.0,Neutral
the customer service is ugly tried calling two weeks ago but still had problems with flight all i get is someone in india i thought i was flying iberian once i looked close at ticket it was british airways will never fly british airway ever again,"['the', 'customer', 'service', 'is', 'ugly', 'tried', 'calling', 'two', 'weeks', 'ago', 'but', 'still', 'had', 'problems', 'with', 'flight', 'all', 'i', 'get', 'is', 'someone', 'in', 'india', 'i', 'thought', 'i', 'was', 'flying', 'iberian', 'once', 'i', 'looked', 'close', 'at', 'ticket', 'it', 'was', 'british', 'airways', 'will', 'never', 'fly', 'british', 'airway', 'ever', 'again']","['customer', 'service', 'ugly', 'tried', 'calling', 'two', 'weeks', 'ago', 'still', 'problems', 'flight', 'get', 'someone', 'india', 'thought', 'flying', 'iberian', 'looked', 'close', 'ticket', 'british', 'airways', 'never', 'fly', 'british', 'airway', 'ever']","['custom', 'servic', 'ugli', 'tri', 'call', 'two', 'week', 'ago', 'still', 'problem', 'flight', 'get', 'someon', 'india', 'thought', 'fli', 'iberian', 'look', 'close', 'ticket', 'british', 'airway', 'never', 'fli', 'british', 'airway', 'ever']","['custom', 'servic', 'ugli', 'tri', 'call', 'two', 'week', 'ago', 'still', 'problem', 'flight', 'get', 'someon', 'india', 'thought', 'fli', 'iberian', 'look', 'close', 'ticket', 'british', 'airway', 'never', 'fli', 'british', 'airway', 'ever']",0.0,Neutral
i tried to check in on line and was informed that this was not possible i was given no reason for this i telephoned ba customer service and must have wasted nearly 2 hours being given wrong phone numbers and incorrect information staff need customer training better knowledge of their product and some manners ba customer service was virtually non existent i will never fly with them again,"['i', 'tried', 'to', 'check', 'in', 'on', 'line', 'and', 'was', 'informed', 'that', 'this', 'was', 'not', 'possible', 'i', 'was', 'given', 'no', 'reason', 'for', 'this', 'i', 'telephoned', 'ba', 'customer', 'service', 'and', 'must', 'have', 'wasted', 'nearly', '2', 'hours', 'being', 'given', 'wrong', 'phone', 'numbers', 'and', 'incorrect', 'information', 'staff', 'need', 'customer', 'training', 'better', 'knowledge', 'of', 'their', 'product', 'and', 'some', 'manners', 'ba', 'customer', 'service', 'was', 'virtually', 'non', 'existent', 'i', 'will', 'never', 'fly', 'with', 'them', 'again']","['tried', 'check', 'line', 'informed', 'not', 'possible', 'given', 'reason', 'telephoned', 'ba', 'customer', 'service', 'must', 'wasted', 'nearly', '2', 'hours', 'given', 'wrong', 'phone', 'numbers', 'incorrect', 'information', 'staff', 'need', 'customer', 'training', 'better', 'knowledge', 'product', 'manners', 'ba', 'customer', 'service', 'virtually', 'non', 'existent', 'never', 'fly']","['tri', 'check', 'line', 'inform', 'not', 'possibl', 'given', 'reason', 'telephon', 'ba', 'custom', 'servic', 'must', 'wast', 'nearli', '2', 'hour', 'given', 'wrong', 'phone', 'number', 'incorrect', 'inform', 'staff', 'need', 'custom', 'train', 'better', 'knowledg', 'product', 'manner', 'ba', 'custom', 'servic', 'virtual', 'non', 'exist', 'never', 'fli']","['tri', 'check', 'line', 'inform', 'not', 'possibl', 'given', 'reason', 'telephon', 'ba', 'custom', 'servic', 'must', 'wast', 'nearli', '2', 'hour', 'given', 'wrong', 'phone', 'number', 'incorrect', 'inform', 'staff', 'need', 'custom', 'train', 'better', 'knowledg', 'product', 'manner', 'ba', 'custom', 'servic', 'virtual', 'non', 'exist', 'never', 'fli']",0.0,Neutral
the incoming and outgoing flight was delayed because french air traffic controllers were on strike so we were routed over germany and not bas fault o arrival the pilot announced we could not pull onto the stand as no ground crew had showed up to turn on the automatic last metre guidance it took around 40 minutes to find someone then when that was done there was a further delay as there were no ground staff to operate the all told we were trapped on the plane for over an hour within metres of our gate total disruption wasted time absolutely no excuse for this,"['the', 'incoming', 'and', 'outgoing', 'flight', 'was', 'delayed', 'because', 'french', 'air', 'traffic', 'controllers', 'were', 'on', 'strike', 'so', 'we', 'were', 'routed', 'over', 'germany', 'and', 'not', 'bas', 'fault', 'o', 'arrival', 'the', 'pilot', 'announced', 'we', 'could', 'not', 'pull', 'onto', 'the', 'stand', 'as', 'no', 'ground', 'crew', 'had', 'showed', 'up', 'to', 'turn', 'on', 'the', 'automatic', 'last', 'metre', 'guidance', 'it', 'took', 'around', '40', 'minutes', 'to', 'find', 'someone', 'then', 'when', 'that', 'was', 'done', 'there', 'was', 'a', 'further', 'delay', 'as', 'there', 'were', 'no', 'ground', 'staff', 'to', 'operate', 'the', 'all', 'told', 'we', 'were', 'trapped', 'on', 'the', 'plane', 'for', 'over', 'an', 'hour', 'within', 'metres', 'of', 'our', 'gate', 'total', 'disruption', 'wasted', 'time', 'absolutely', 'no', 'excuse', 'for', 'this']","['incoming', 'outgoing', 'flight', 'delayed', 'french', 'air', 'traffic', 'controllers', 'strike', 'routed', 'germany', 'not', 'bas', 'fault', 'arrival', 'pilot', 'announced', 'could', 'not', 'pull', 'onto', 'stand', 'ground', 'crew', 'showed', 'turn', 'automatic', 'last', 'metre', 'guidance', 'took', 'around', '40', 'minutes', 'find', 'someone', 'done', 'delay', 'ground', 'staff', 'operate', 'told', 'trapped', 'plane', 'hour', 'within', 'metres', 'gate', 'total', 'disruption', 'wasted', 'time', 'absolutely', 'excuse']","['incom', 'outgo', 'flight', 'delay', 'french', 'air', 'traffic', 'control', 'strike', 'rout', 'germani', 'not', 'ba', 'fault', 'arriv', 'pilot', 'announc', 'could', 'not', 'pull', 'onto', 'stand', 'ground', 'crew', 'show', 'turn', 'automat', 'last', 'metr', 'guidanc', 'took', 'around', '40', 'minut', 'find', 'someon', 'done', 'delay', 'ground', 'staff', 'oper', 'told', 'trap', 'plane', 'hour', 'within', 'metr', 'gate', 'total', 'disrupt', 'wast', 'time', 'absolut', 'excus']","['incom', 'outgo', 'flight', 'delay', 'french', 'air', 'traffic', 'control', 'strike', 'rout', 'germani', 'not', 'ba', 'fault', 'arriv', 'pilot', 'announc', 'could', 'not', 'pull', 'onto', 'stand', 'ground', 'crew', 'show', 'turn', 'automat', 'last', 'metr', 'guidanc', 'took', 'around', '40', 'minut', 'find', 'someon', 'done', 'delay', 'ground', 'staff', 'oper', 'told', 'trap', 'plane', 'hour', 'within', 'metr', 'gate', 'total', 'disrupt', 'wast', 'time', 'absolut', 'excus']",0.0,Neutral
